risk_factor,mechanism,possible_dampener
judgment_action_gap,People endorse moral claims but fail to act under pressure,Strengthen self-regulation accountability and repair infrastructure
moral_inattention,Harm does not become visible as morally relevant,Cultivate moral perception affected-person voice and ethical attention
selective_empathy,Care is extended to familiar or favored groups only,Use principle perspective-taking and institutional fairness checks
identity_defensiveness,Moral self-image blocks correction or apology,Build humility feedback and repair-oriented accountability
diffusion_of_responsibility,Responsibility is spread so widely that no one acts,Clarify roles ownership escalation and repair duties
bureaucratic_distance,Procedure hides human consequence,Connect metrics to lived effects testimony and accountability
retaliation_risk,Truth-telling or repair is punished,Protect reporting channels and anti-retaliation systems
performative_judgment,Public condemnation replaces concrete responsibility,Connect judgment to repair follow-up and proportionality
institutional_blindness,Systems make harm difficult to perceive report or correct,Audit incentives categories reporting and harmed-party experience
moral_disengagement,Harm is justified minimized euphemized or displaced,Name mechanisms preserve dignity and strengthen accountability
